Configuration used for SK2
da a0 f9 32 e0 c1 2e 10 98 b0 40 0 0 0 8 0 0 0 1f ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff e9 d7 ae ba 80 25 
Configuration read from SK2
da a0 f9 32 e0 c1 2e 10 98 b0 40 0 0 0 8 0 0 0 1f ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff e9 d7 ae ba 80 25 
evt	dac_ctrl( -1 means fixed )
0	3
1	6
2	9
3	12
4	15
5	18
6	21
7	24
8	27
9	30
10	33
11	36
12	39
13	42
14	45
15	48
16	51
17	54
18	57
19	60
20	63
21	66
22	69
23	72
24	75
25	78
26	81
27	84
28	87
29	90
30	93
31	96
32	99
33	102
34	105
35	108
36	111
37	114
38	117
39	120
40	123
41	126
42	129
43	132
44	135
45	138
46	141
47	144
48	147
49	150
50	153
51	156
52	159
53	162
54	165
55	168
56	171
57	174
58	177
59	180
60	183
61	186
62	189
63	192
64	195
65	198
66	201
67	204
68	207
69	210
70	213
71	216
72	219
73	222
74	225
75	228
76	231
77	234
78	237
79	240
80	243
81	246
82	249
83	252
84	255
85	258
86	261
87	264
88	267
89	270
90	273
91	276
92	279
93	282
94	285
95	288
96	291
97	294
98	297
99	300
100	303
101	306
102	309
103	312
104	315
105	318
106	321
107	324
108	327
109	330
110	333
111	336
112	339
113	342
114	345
115	348
116	351
117	354
118	357
119	360
120	363
121	366
122	369
123	372
124	375
125	378
126	381
127	384
128	387
129	390
130	393
131	396
132	399
133	402
134	405
135	408
136	411
137	414
138	417
139	420
140	423
141	426
142	429
143	432
144	435
145	438
146	441
147	444
148	447
149	450
150	453
151	456
152	459
153	462
154	465
155	468
156	471
157	474
158	477
159	480
160	483
161	486
162	489
163	492
164	495
165	498
166	501
167	504
168	507
169	510
170	513
171	516
172	519
173	522
174	525
175	528
176	531
177	534
178	537
179	540
180	543
181	546
182	549
183	552
184	555
185	558
186	561
187	564
188	567
189	570
190	573
191	576
192	579
193	582
194	585
195	588
196	591
197	594
198	597
199	600
200	603
201	606
202	609
203	612
204	615
205	618
206	621
207	624
208	627
209	630
210	633
211	636
212	639
213	642
214	645
215	648
216	651
217	654
218	657
219	660
220	663
221	666
222	669
223	672
224	675
225	678
226	681
227	684
228	687
229	690
230	693
231	696
232	699
233	702
234	705
235	708
236	711
237	714
238	717
239	720
240	723
241	726
242	729
243	732
244	735
245	738
246	741
247	744
248	747
249	750
250	753
251	756
252	759
253	762
254	765
255	768
256	771
257	774
258	777
259	780
260	783
261	786
262	789
263	792
264	795
265	798
266	801
267	804
268	807
269	810
270	813
271	816
272	819
273	822
274	825
275	828
276	831
277	834
278	837
279	840
280	843
281	846
282	849
283	852
284	855
285	858
286	861
287	864
288	867
289	870
290	873
291	876
292	879
293	882
294	885
295	888
296	891
297	894
298	897
299	900
300	903
301	906
302	909
303	912
304	915
305	918
306	921
307	924
308	927
309	930
310	933
311	936
312	939
313	942
314	945
315	948
316	951
317	954
318	957
319	960
320	963
321	966
322	969
323	972
324	975
325	978
326	981
327	984
328	987
329	990
330	993
331	996
332	999
333	1002
334	1005
335	1008
336	1011
337	1014
338	1017
339	1020
340	1023
341	1026
342	1029
343	1032
344	1035
345	1038
346	1041
347	1044
348	1047
349	1050
350	1053
351	1056
352	1059
353	1062
354	1065
355	1068
356	1071
357	1074
358	1077
359	1080
360	1083
361	1086
362	1089
363	1092
364	1095
365	1098
366	1101
367	1104
368	1107
369	1110
370	1113
371	1116
372	1119
373	1122
374	1125
375	1128
376	1131
377	1134
378	1137
379	1140
380	1143
381	1146
382	1149
383	1152
384	1155
385	1158
386	1161
387	1164
388	1167
389	1170
390	1173
391	1176
392	1179
393	1182
394	1185
395	1188
396	1191
397	1194
398	1197
399	1200
400	1203
401	1206
402	1209
403	1212
404	1215
405	1218
406	1221
407	1224
408	1227
409	1230
410	1233
411	1236
412	1239
413	1242
414	1245
415	1248
416	1251
417	1254
418	1257
419	1260
420	1263
421	1266
422	1269
423	1272
424	1275
425	1278
426	1281
427	1284
428	1287
429	1290
430	1293
431	1296
432	1299
433	1302
434	1305
435	1308
436	1311
437	1314
438	1317
439	1320
440	1323
441	1326
442	1329
443	1332
444	1335
445	1338
446	1341
447	1344
448	1347
449	1350
450	1353
451	1356
452	1359
453	1362
454	1365
455	1368
456	1371
457	1374
458	1377
459	1380
460	1383
461	1386
462	1389
463	1392
464	1395
465	1398
466	1401
467	1404
468	1407
469	1410
470	1413
471	1416
472	1419
473	1422
474	1425
475	1428
476	1431
477	1434
478	1437
479	1440
480	1443
481	1446
482	1449
483	1452
484	1455
485	1458
486	1461
487	1464
488	1467
489	1470
490	1473
491	1476
492	1479
493	1482
494	1485
495	1488
496	1491
497	1494
498	1497
499	1500
